Thread ID: 18456180
Fiber ID: 52550820
Total: 6.179719
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.07      0.066     0.005     0.000     0.062     1000   ActionView::TemplateRenderer#determine_template 
  0.07      0.020     0.005     0.000     0.016     4000   ActiveSupport::Callbacks::ClassMethods#__define_callbacks 
  0.07      0.025     0.005     0.000     0.021     7000   ThreadSafe::MriCacheBackend#[]= 
  0.07      0.019     0.005     0.000     0.015     1000   ActiveRecord::QueryMethods#build_order 
  0.07      0.005     0.005     0.000     0.000     8000   <Class::URI::Generic>#default_port 
  0.07      0.005     0.005     0.000     0.000    15000   BasicObject#initialize 
  0.07      0.005     0.005     0.000     0.000     8000   Hash#keys 
  0.07      0.026     0.005     0.000     0.021     2000   ActionDispatch::Http::MimeNegotiation#formats 
  0.07      0.005     0.005     0.000     0.000     2000   Array#flatten! 
  0.07      0.009     0.004     0.000     0.005    14000  *ActiveSupport::OrderedOptions#_get 
  0.07      4.986     0.004     0.000     4.981     1000   Rails::Application#call 
  0.07      0.006     0.004     0.000     0.001     3000   Arel::Nodes::Unary#initialize 
  0.07      4.914     0.004     0.000     4.909     1000   ActionDispatch::Static#call 
  0.07      0.020     0.004     0.000     0.015     2000   ActionView::AbstractRenderer#prepend_formats 
  0.07      0.004     0.004     0.000     0.000    11000   Array#concat 
  0.07      0.006     0.004     0.000     0.001     5000   Rack::Request#query_string 
  0.07      0.041     0.004     0.000     0.037     2000   ActionDispatch::Http::Cache::Response#prepare_cache_control! 
  0.07      0.009     0.004     0.000     0.005     1000   ActiveSupport::MessageEncryptor#initialize 
  0.07      0.772     0.004     0.000     0.768     1000   JbuilderTemplate#partial! 
  0.07      0.004     0.004     0.000     0.000     4000   ActionDispatch::Request#check_method 
  0.07      0.008     0.004     0.000     0.004     1000   <Module::ActionDispatch::Http::URL>#normalize_protocol 
  0.07      2.148     0.004     0.000     2.143     1000   ActionView::TemplateRenderer#render_with_layout 
  0.07      0.129     0.004     0.000     0.125     3000   ActiveSupport::LogSubscriber#info 
  0.07      0.056     0.004     0.000     0.052     2000   Rack::Utils#parse_nested_query 
  0.07      0.028     0.004     0.000     0.024     6000   ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id 
  0.07      4.416     0.004     0.000     4.412     1000   ActionDispatch::Cookies#call 
  0.07      0.093     0.004     0.000     0.089     1000   <Class::ActionDispatch::Cookies::CookieJar>#build 
  0.07      4.469     0.004     0.000     4.464     1000   ActiveRecord::QueryCache#call 
  0.07      0.004     0.004     0.000     0.000     6000   Mutex#lock 
  0.07      0.067     0.004     0.000     0.063     1000   Rack::ETag#digest_body 
  0.07      0.006     0.004     0.000     0.002     6000   URI::Generic#userinfo 
  0.07      0.027     0.004     0.000     0.023    14000  *ActiveRecord::ConnectionHandling#connection_id 
  0.07      0.712     0.004     0.000     0.708     1000   ActionView::Helpers::RenderingHelper#render 
  0.07      0.014     0.004     0.000     0.010     3000   Jbuilder::KeyFormatter#format 
  0.07      0.043     0.004     0.000     0.039     3000   ActiveSupport::Notifications::Event#duration 
  0.07      3.940     0.004     0.000     3.936     1000   ActionDispatch::Routing::RouteSet::Dispatcher#call 
  0.07      4.339     0.004     0.000     4.334     1000   Rack::ConditionalGet#call 
  0.07      0.010     0.004     0.000     0.005     2000   Hash#eql? 
  0.07      0.025     0.004     0.000     0.021     1000   ActionView::LogSubscriber#from_rails_root 
  0.07      0.006     0.004     0.000     0.002     4000   Enumerable#inject 
  0.07      0.764     0.004     0.000     0.760     1000   JbuilderTemplate#_handle_partial_options 
